Feature,Coefficient,Std Error,T-Statistic,P-Value,Significant,Conf Int Low,Conf Int High,VIF
BenchmarkFilterAdd/maxItems=10000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0005955272912098196,0.00029295604401461447,2.032821316975836,0.04501702652641406,True,1.3518977020692663e-05,0.0011775356053989466,1000.0
BenchmarkFilterAdd/maxItems=1000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0005934773810255766,0.00029957548603527843,1.9810612306097963,0.05063706842375736,False,-1.681610099668173e-06,0.0011886363721508213,1000.0
BenchmarkUnionNoOverlap/items_1000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0005912343303048551,0.00033808923580073145,1.7487523047120213,0.08374336048569399,False,-8.043894694645078e-05,0.001262907607556161,1000.0
BenchmarkUnionNoOverlap/items_10000-2_BenchmarkUnionPartialOverlap/items_100000-2,0.0005883880885956815,0.0003136347027895256,1.8760299270535052,0.06389235507188107,False,-3.4701990517461935e-05,0.001211478167708825,1000.0
BenchmarkIntersectPartialOverlap/items_1000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0005872151487490694,0.00031810711444441595,1.8459667265683732,0.06818444072005703,False,-4.476015673439155e-05,0.0012191904542325303,1000.0
BenchmarkIntersectPartialOverlap/items_100000-2_BenchmarkUnionNoOverlap/items_100000-2,0.000580561329951343,0.00030025510248285237,1.9335602464391057,0.056310016312273316,False,-1.5947837867740454e-05,0.0011770704977704266,1000.0
BenchmarkIfExpression/equal___name__:_middle-2_BenchmarkUnionNoOverlap/items_100000-2,0.0005787008542051184,0.0002885653237587152,2.0054414254188107,0.04791947650880379,True,5.415472163738922e-06,0.0011519862362464979,1000.0
BenchmarkFilterAdd/maxItems=100000-2_BenchmarkIntersectFullOverlap/items_10000-2,0.0005735013551428894,0.0003348985666504632,1.7124628536898405,0.09025488255845404,False,-9.18331009397696e-05,0.0012388358112255483,1000.0
BenchmarkUnionNoOverlap/items_10000-2_bench-fast-queue-throughput-serial-100000,0.0005678501279136325,0.0002862659443960877,1.9836454144469766,0.05034292923713011,False,-8.67135688595224e-07,0.0011365673915158603,1000.0
BenchmarkFilterHasHit/maxItems=10000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0005602026035928763,0.00028409055122769774,1.9719156486266787,0.051689829457541275,False,-4.192861785690311e-06,0.0011245980689714428,1000.0
BenchmarkMapHasHit/items_10000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0005588052816831896,0.0003102493084669459,1.8011491611196448,0.07502847578252508,False,-5.7559120719041746e-05,0.001175169684085421,1000.0
BenchmarkFilterAdd/maxItems=100000-2_BenchmarkMapAddNoAllocs/items_1000000-2,0.0005566506167748425,0.00024600872354122735,2.262727145452451,0.026058387256667943,True,6.791134892445447e-05,0.0010453898846252306,1000.0
BenchmarkFilterAdd/maxItems=100000-2_BenchmarkQueueThroughputSerial/block-size-10000-2,0.0005566324229404718,0.00021593849297993562,2.577735980551612,0.011570195139102306,True,0.00012763291657929442,0.0009856319293016491,1000.0
BenchmarkFilterAdd/maxItems=100000-2_BenchmarkMapAddWithAllocs/items_1000000-2,0.0005555504881300292,0.0002465875175862387,2.252954624662772,0.026692279229062494,True,6.566134488610617e-05,0.0010454396313739523,1000.0
BenchmarkDedupAggr/samplesPerPush_1-2_BenchmarkUnionNoOverlap/items_100000-2,0.0005549441549215562,0.00029500772764540017,1.881117350215992,0.06318895495141195,False,-3.114018690243139e-05,0.0011410284967455437,1000.0
BenchmarkAdd/items_1000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0005545595795685275,0.0003029412487534058,1.8305845831511014,0.07047214929344724,False,-4.7286086658870734e-05,0.0011564052457959258,1000.0
BenchmarkFilterAdd/maxItems=100000-2_BenchmarkQueueThroughputConcurrent/block-size-1000000-2,0.0005543484860487382,0.0002155044007112249,2.5723302365020526,0.011739577547829375,True,0.00012621137974612483,0.0009824855923513515,1000.0
BenchmarkBlock_MustInitFromRows/rowsPerBlock_10000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0005518447957083129,0.00028374714506167523,1.9448470418561006,0.05491545932553187,False,-1.186843338309596e-05,0.0011155580247997217,1000.0
BenchmarkFilterAdd/maxItems=100000-2_BenchmarkQueueThroughputConcurrent/block-size-10000-2,0.0005496073084649591,0.00021532900905846415,2.552407178522494,0.012383318970793561,True,0.00012181864829353744,0.0009773959686363808,1000.0
BenchmarkUnionNoOverlap/items_10000-2_BenchmarkUnmarshalGaugeArray-2,0.0005484317950752017,0.0002819307644567074,1.9452711949760186,0.05486362835629094,False,-1.1672876912089607e-05,0.001108536467062493,1000.0
BenchmarkIsAutoMetricMiss-2_BenchmarkUnionNoOverlap/items_100000-2,0.0005473248517275388,0.0002834857951315088,1.9306958624633568,0.05666866144090929,False,-1.5869160111393714e-05,0.0011105188635664714,1000.0
BenchmarkMarshalVarUint64s/up-to-(1<<28)-1-2_BenchmarkUnionNoOverlap/items_100000-2,0.0005455908794637242,0.00029002009947188135,1.881217475813677,0.06317517688355781,False,-3.05846684494367e-05,0.001121766427376885,1000.0
